gauge_id,status,rows,elapsed_s,error
1100TH,SUCCESS,70080,11.78,
1100TH,SUCCESS,70080,11.14,
2700TH,SUCCESS,34044,6.58,
2700TH,SUCCESS,70080,13.06,
3400TH,SUCCESS,70080,15.83,
3400TH,SUCCESS,70080,15.35,
2200TH,SUCCESS,70080,17.51,
2200TH,SUCCESS,70080,14.23,
2604TH,SUCCESS,70080,12.69,
2604TH,SUCCESS,70080,14.5,
1800TH,SUCCESS,70080,16.6,
1800TH,SUCCESS,24106,9.21,
0130TH,SUCCESS,70080,15.13,
0130TH,SUCCESS,70080,14.56,
2001TH,SUCCESS,70080,12.56,
1303TH,SUCCESS,70080,11.92,
3101TH,SUCCESS,70080,12.11,
2495TH,SUCCESS,70080,16.59,
1302TH,SUCCESS,70080,14.98,
2902TH,SUCCESS,70080,16.3,
2302TH,SUCCESS,70080,12.94,
2002TH,SUCCESS,70080,12.87,
2607TH,SUCCESS,70080,13.97,
3401TH,SUCCESS,70080,17.61,
2199TH,SUCCESS,70080,15.89,
0569TH,SUCCESS,70080,18.17,
0701TH,SUCCESS,70080,12.78,
1099TH,SUCCESS,70080,14.35,
2703TH,SUCCESS,70080,11.92,
0903TH,SUCCESS,70080,14.02,
0190TH,SUCCESS,70080,17.06,
0190TH,SUCCESS,70080,16.82,
2900TH,SUCCESS,70080,15.27,
2900TH,SUCCESS,70080,12.6,
0902TH,SUCCESS,70080,10.55,
2497TH,SUCCESS,70080,10.83,
3404TH,SUCCESS,70080,11.91,
2901TH,SUCCESS,70080,16.29,
1502TH,SUCCESS,70080,16.25,
2003TH,SUCCESS,70080,15.06,
1799TH,SUCCESS,70080,12.46,
0904TH,SUCCESS,70080,12.17,
2601TH,SUCCESS,70080,15.2,
2702TH,SUCCESS,70080,15.03,
2004TH,SUCCESS,70080,17.14,
2201TH,SUCCESS,70080,19.04,
0901TH,SUCCESS,70080,13.22,
1102TH,SUCCESS,70080,11.59,
1201TH,SUCCESS,70080,13.11,
1899TH,SUCCESS,70080,11.98,
1301TH,SUCCESS,70080,16.01,
3100TH,SUCCESS,70080,17.47,
3100TH,SUCCESS,70080,15.62,
0898TH,SUCCESS,70080,13.42,
0144TH,SUCCESS,70080,14.64,
2904TH,SUCCESS,70080,12.54,
1503TH,SUCCESS,70080,13.87,
2602TH,SUCCESS,70080,16.8,
2698TH,SUCCESS,70080,16.93,
2499TH,SUCCESS,70080,15.6,
1501TH,SUCCESS,70080,13.14,
1801TH,SUCCESS,70080,12.77,
2301TH,SUCCESS,70080,13.37,
3104TH,SUCCESS,70080,16.83,
3102TH,SUCCESS,70080,15.5,
033023,SUCCESS,70080,15.33,
033023,SUCCESS,70080,12.64,
2210TH,SUCCESS,70080,11.75,
2210TH,SUCCESS,70080,13.54,
2204TH,SUCCESS,70080,14.8,
2230_w2TH,SUCCESS,70080,17.26,
2230_w1TH,SUCCESS,70080,17.05,
2290TH,SUCCESS,70080,15.81,
2298TH,SUCCESS,70080,12.49,
